id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
e277ca66-9ffc-4078-9a08-ecbd62989f25,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,0zv-4P69Ccaw6f9q7OWI3xqHQAYgOvu2FRmYxKP6JgA,1,1251,UNFULFILLABLE,,4yCet9gm-1m6N6OS9m7P5ti_EFhwSFKsfXLPBLK7k1Y,2026-06-30 02:43:40.74562+00,,2026-06-30 02:43:42.659686+00
19748f27-b2fb-4afc-b461-a4d5b85e8f5f,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,AZzqhga-FwP6arLR-EwKmP975JLr8aYsYnByWNciFaI,2,87,UNFULFILLABLE,,kcE5JRj3VyRrJiUl5yW9xkSnuQpNUr4ejyXqdrU4QXg,2026-06-30 02:42:41.175581+00,,2026-06-30 02:42:43.293423+00
1eef1097-9ada-41d2-9857-732c63a5b445,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,v-bT8epqAa82b81jDOqojrQjLe3PqNHKj02qeQ7Nueo,2,94,UNFULFILLABLE,,xgWl_l4VkP4uHtwPjVcim24anyAtKqo5mzLPB4iRGe8,2026-06-30 02:42:41.220044+00,,2026-06-30 02:42:43.300179+00
96e76865-c2d2-4be6-b507-54db43522515,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,f2rRWWXDzsqfhQBhFIP7mgd_CL3RSSj9tDkcOREAza0,2,2491,UNFULFILLABLE,,V6TJVLPrxq_x0YTmLSt3HdgEtoaZ1Rab1VlDLidZluA,2026-06-30 02:44:44.313175+00,,2026-06-30 02:44:45.668657+00
3283ec55-bffb-47e7-ae10-940c601e7c56,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,7DFJHGdZrgEUO2S0Uq9oStRkChMwTm9PGmu00tl0TYw,2,1285,UNFULFILLABLE,,_Z-wy0E7otmFGyImysQhvKIpLX4TbOwhln84FTT_C6Q,2026-06-30 02:43:42.729578+00,,2026-06-30 02:43:44.685368+00
f1dc5514-7c83-4d90-894e-07cdf5238eaf,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,P-UMQ50g-6beAbQqJucmpPo_WuyMdmY5aB9Vf-Uhs7s,1,2496,UNFULFILLABLE,,2Df10Y6rK1S_nUomJn66XkZFcs2PmvVzvJus7v20Bd0,2026-06-30 02:44:44.3561+00,,2026-06-30 02:44:45.67039+00
b2830203-a853-4ef2-b43e-6468425a4d54,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,yMuaIaiGJQaeQHnI4xP2FZEToi7q9GW2amyvNXMb4xA,2,146,UNFULFILLABLE,,cKnFcKGIgKem1_-EYbh7ftfzP6_fP9GPfG4R-KhR8W4,2026-06-30 02:42:45.114587+00,,2026-06-30 02:42:46.353717+00
c03d8ca2-e8d7-49ce-b048-c42dbb635439,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,ViCBbiT9iixo2efo1IuGFs8KSn1ospPH8RlelQ28nwE,1,148,UNFULFILLABLE,,RVWEUM_WlZEobYrnTPxz5GLsiu7L9Ja3vMmmBxGJE9w,2026-06-30 02:42:45.139714+00,,2026-06-30 02:42:46.355113+00
c81895f2-7b4b-405f-91a5-d40af337c96e,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,jkw9yiZT9wJyeEoXk84vkSLiNKoYtPfvoDDuypcYX4c,3,150,UNFULFILLABLE,,ELasi9fmM-DtD6epMV7DEq_QKOGqUtIHBR4lL5qcoGg,2026-06-30 02:42:45.148392+00,,2026-06-30 02:42:46.35622+00
e8d29efa-a7f7-4b4f-a208-8495d4ff7efd,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,jZ1a_yLRPCF54qdiYgy__KmjUkqNdUK-mvV7eZbTHsQ,2,152,UNFULFILLABLE,,EgxpV_xFClLLN2vkKyS5blaDjmTUc40JMlWyGBRQO7I,2026-06-30 02:42:45.164022+00,,2026-06-30 02:42:46.357174+00
78102fa8-d47f-440a-b066-ede1749db1f4,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,cumGFRdxXL1bYFLY7dMO3RHkQVW-bGWbrTq4PR2H8OM,2,155,UNFULFILLABLE,,6uFhCCb3VJhRB6sOPtK-MEK5UJ6mEeMFVYiNNpyrufk,2026-06-30 02:42:45.180464+00,,2026-06-30 02:42:46.358571+00
f267e04d-4c96-4eb2-88b5-0d9c0f7ebb3f,5a82dfca-7577-4fb5-aaa1-5064ac9e00cb,e2ad1e99-e597-446d-9f43-05784c3fe0f5,mkCwW46hbu0VGTaNlC72m6GrSg9Mvt29wUN8P1FPWT8,3,2,CONFIRMED,2213d7c5-143b-41b3-9d93-087504a9e8a5,Nm0fC_-kMjdxX74-w9AhuB1ccWnsXc-BSg6hKV6P_3M,2026-06-30 02:42:37.54245+00,2026-06-30 02:42:37.991904+00,2026-06-30 02:42:38.975016+00
