id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
322f7ede-b2ce-4347-ba6e-a1f428d827d7,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,dO9B-UB5fFPPVL9yUYND2aKVnvS0Tq_fB_102hPdFtA,3,1,CONFIRMED,e410cfba-d8d5-4985-bf04-981290d45553,0zLTWHotZgaUcZCYhvdqFZAcB5gQMkfAui0tZQ1u_ck,2026-06-30 02:57:35.48784+00,2026-06-30 02:57:35.5585+00,2026-06-30 02:57:36.547245+00
7faa91b6-3d4b-414c-b188-87359b352387,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,LvJStwvHjQfbKrNs7BPmQAjIL3rDGFNTTqc4m9He2Q8,3,2,CONFIRMED,65366b27-f9ad-4c0f-b5db-879b3ed27e06,gUbPaJi7Ar-zRimW6QVc6QnQHZDoQStcVH4jeyNTmSs,2026-06-30 02:57:35.850775+00,2026-06-30 02:57:36.570668+00,2026-06-30 02:57:36.88848+00
1bbcd58b-964b-4f81-9126-9b0f2953a41b,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,tyUbiKSX-YY6oJnv1gSFC85Swexk6HJmtzhEBCordXs,2,3451,UNFULFILLABLE,,E-e6hXWIgwIdVFBaCWy6dOKTq8y30n--JBI1CL1Lf08,2026-06-30 02:59:39.119775+00,,2026-06-30 02:59:41.536781+00
07be885f-7d97-476a-bd0e-30c889d50b53,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,c2OUJVxctQvvI8NyevN1w1kRZ__wguimp0vYNFkRFX4,3,3460,UNFULFILLABLE,,Z3Vupp4IHb-r50D3rIkYaEO2TAr7fJq_wqTbPUtP_8I,2026-06-30 02:59:39.310499+00,,2026-06-30 02:59:41.544882+00
2874aeca-cbc9-49e3-ab60-e3994bcefdff,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,466uDbxkJSdbXDSxvIrxeot57ATNGydUYvlOuer3E60,1,3,CONFIRMED,05134f5d-0934-475b-9d01-92908afef2ef,oR7Zh4zt5Tx-g6uQMk9vuF8bWlL9ueA3VxklpjEjWVU,2026-06-30 02:57:36.230017+00,2026-06-30 02:57:36.575103+00,2026-06-30 02:57:37.268679+00
9fb7e8b7-387a-44cc-9be2-3ed646d36d33,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,-Qz8nv4-8xJmPcDp_9YRpAJ_XJ7FIhU3rKteQKXh9tw,1,1711,UNFULFILLABLE,,nOvNBMF_-LNRAZf1U3FkOEziSk8FG0YdC15ZLHiEMFc,2026-06-30 02:58:38.456341+00,,2026-06-30 02:58:41.360671+00
f65eedc2-2426-4511-9a5c-855dafea9535,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,XIJhvXqgV8TIYDVhaHsdWkbBh6CfJD442uxWCltwpJo,1,1713,UNFULFILLABLE,,j1Smm_eq4NEkZfT_iCmG9H-PlHXgnUWaaksdLO_8MUI,2026-06-30 02:58:38.466095+00,,2026-06-30 02:58:41.363856+00
a477cad0-f01f-48b6-a44e-088544dc63b0,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,cOUS7l6mFtNBM2g5YNdyZF0nfFWUP5yvPc6O4fyl7Lg,3,5,CONFIRMED,8182f10b-717e-4555-a4f1-5f6f84d7fd9e,jnQkilw-ijdBRQoqfh2ZbAi1AUDiAjiK4LNfqRqBAOY,2026-06-30 02:57:36.608294+00,2026-06-30 02:57:37.595674+00,2026-06-30 02:57:37.640059+00
27a0ffad-1ee1-42b1-a8e2-f0d814e208e8,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,HXDKJd6mrSNlob8UPzkt0i7l379Myxu3745TTTJnnm0,3,6,CONFIRMED,79411657-86f4-46e2-9792-116921fb3064,2qj439ZR2nxdlmTX6DJog0ouBZFvvWjJyJkIRc97ZwY,2026-06-30 02:57:36.91958+00,2026-06-30 02:57:37.601112+00,2026-06-30 02:57:37.965332+00
552665fb-f95a-4fb0-8f79-bf155488ca1b,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,feGFoJpp2BxXomyZsfkYKt5k0QdkesMktX_nY9_azCo,1,7,CONFIRMED,1353596d-89da-439d-8d32-8385ebcf9289,z6r1z4B-wNF2FlsEBS-YtpcReJYC4sTXl6wwsCG5ZXw,2026-06-30 02:57:36.991268+00,2026-06-30 02:57:37.605579+00,2026-06-30 02:57:38.044083+00
29f21297-6283-47a2-a5d6-15bc93c1d95c,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,1HoKFjCD5k9T2yAObFctsPAJrq6CZyqIFAHOtxBtSEk,2,8,CONFIRMED,56896871-d9f6-40cf-ad38-ae15d475fa8a,nCgYVnlHMenGd5tHhSXQ5jxkMDZ1-YmvWCi66BPVzHk,2026-06-30 02:57:37.290609+00,2026-06-30 02:57:37.616842+00,2026-06-30 02:57:38.337278+00
7dd11c59-56ec-4e4f-bd41-2e0eb28901e5,122d1e46-56ec-4bfe-ab20-48a2a6b684b9,97800e55-bcdd-4eac-9a06-05111ba28edf,wbSx_re44S4M0pLV7ARI2y4368JifonnNHdEg3kO4mk,1,9,CONFIRMED,67310b1e-1388-4e89-87fb-dfc6289031de,0VdfEjlerHVJg80tr4lVUyBiB93ab2m8xLsuH7odfps,2026-06-30 02:57:37.368293+00,2026-06-30 02:57:37.621608+00,2026-06-30 02:57:38.419464+00
