id,reservation_id,entry_id,state,occurred_at,acknowledged_at
bc34b421-8a00-489b-b46c-d8e2d1572b98,6ac58dc6-e7f1-437d-a322-b1d644b6e93c,8087067c-f09f-45d7-9d3c-2242ec33c6e6,CONFIRMED,2026-06-30 02:27:56.539781+00,2026-06-30 02:27:56.829999+00
3b1a25c7-e94e-4274-b4e8-b686ad26d58e,a46468f3-3702-46e0-9c76-32d72392518b,9ac87fac-82f6-4335-8a38-38e0ef574238,CONFIRMED,2026-06-30 02:27:56.539928+00,2026-06-30 02:27:56.830902+00
1a25ad0c-9167-4109-b862-e46e25289155,0d622276-1ac2-4d71-8895-98c2199fa416,eec0e2cf-4506-4109-9b99-82d1d3675408,CONFIRMED,2026-06-30 02:27:56.56825+00,2026-06-30 02:27:56.831609+00
a53896fb-63be-4f15-9ce9-b5243e333f8f,a0260e77-7cec-4983-9c9b-0b5271879a7c,49b9509b-d6ef-470b-82a8-15db55396745,CONFIRMED,2026-06-30 02:27:56.592384+00,2026-06-30 02:27:56.832259+00
e3a27114-5a05-4d9f-848c-b1086a020f80,faefc4f9-ab54-438d-8182-55617aa9e2f5,71513965-37fc-4b7d-8fdc-1c7c78c44b85,CONFIRMED,2026-06-30 02:27:56.613807+00,2026-06-30 02:27:56.832951+00
b379349c-0485-429f-bacc-679154a65b4e,320385cd-6e48-452d-aa57-0664354030a9,8499f412-ca7b-47f9-ac59-245b03742bed,CONFIRMED,2026-06-30 02:27:56.658407+00,2026-06-30 02:27:56.833571+00
ee4885dc-e53f-47c8-aa5b-7728c873d390,a25bb294-391b-4123-a0c0-2854dc3a6c16,7f6cedb8-ba58-451d-81b9-98a2cf98e970,CONFIRMED,2026-06-30 02:27:56.684142+00,2026-06-30 02:27:56.834038+00
6ec76a12-f784-4bb4-a28e-6d02e265aeb7,1d72e37a-66df-4fa1-9c34-dc21c84f1d6a,5888dceb-16d0-4530-86bc-4c00e2cbc875,CONFIRMED,2026-06-30 02:27:56.727992+00,2026-06-30 02:27:56.834516+00
f7426c9e-62ef-4340-9202-002426d2ac51,bc555301-cb05-4c5a-af47-221bef890f5a,f19eead3-9308-420f-b14e-a55f426a13b0,CONFIRMED,2026-06-30 02:27:56.763514+00,2026-06-30 02:27:56.83491+00
76c6c7d9-9528-42be-9354-169e62d447aa,0f6723d7-e562-49a2-91af-08cf08708dbf,42a3255f-4e38-42c5-b0d4-893913e75123,CONFIRMED,2026-06-30 02:27:56.796754+00,2026-06-30 02:27:56.835272+00
8e16ce0c-7b55-4224-be89-3b329dfc2c9d,85808bb6-2c7e-44b8-a8a9-e080b6a73c7e,b7bfc95a-940f-49d0-8bd2-0d125724dba1,CONFIRMED,2026-06-30 02:27:57.609427+00,2026-06-30 02:27:57.858106+00
536359fe-21a2-43f5-bfca-e62a096ea4e4,8860f00d-a7bb-425b-91a9-adf8c3154eed,e6ef8970-0914-4ea9-8445-3b3bb395d8ba,CONFIRMED,2026-06-30 02:27:57.622647+00,2026-06-30 02:27:57.859494+00
dca116f5-ea3c-4329-8c47-a8461820512c,c0eec6e9-325c-445a-a05e-2168d1cda6d3,a21e2912-7eca-420e-906d-5e9934137540,CONFIRMED,2026-06-30 02:27:57.631514+00,2026-06-30 02:27:57.860386+00
f8249b9c-ce38-4453-8c98-324654ea2bbd,3edc524a-9e32-4455-9b63-37df94695585,22fcb130-6872-4ff0-94a0-c1daed51fa6a,CONFIRMED,2026-06-30 02:27:57.650219+00,2026-06-30 02:27:57.861346+00
c78a8876-e336-4005-b096-0f576abd5063,6940a081-cef4-4509-b902-1a7a80e15d53,6e98b21f-abea-47bb-a2b8-c16c326f09f3,CONFIRMED,2026-06-30 02:27:57.671946+00,2026-06-30 02:27:57.862036+00
