id,reservation_id,entry_id,state,occurred_at,acknowledged_at
55e688c3-2694-460c-854f-d04038eabc7e,42c91e8a-7901-4b1f-87ba-f4bf800c9869,d3dfedcd-b9be-4bca-901b-4bed1780b36d,CONFIRMED,2026-06-30 03:16:44.053024+00,2026-06-30 03:16:44.685538+00
bc50ff83-65ff-4bbd-832c-5416deb8e2e4,4b3b9970-37fb-4477-9ab9-c02491133b1f,3df00f0b-7bc4-4ecb-b463-0f7e812c7404,CONFIRMED,2026-06-30 03:16:44.053027+00,2026-06-30 03:16:44.686773+00
49c9260f-3995-4ff9-a7c9-17a34a23eea0,f4fefcdf-7de0-419f-b6a7-a232e4df08bb,c8efc979-827d-4c34-93be-70a8e0198e57,CONFIRMED,2026-06-30 03:16:44.053332+00,2026-06-30 03:16:44.687217+00
75c19c41-e9fe-4ad4-bb45-f856ee17a335,5e8521eb-5b25-4b9b-aea4-7d1dcbaae19d,3e061fb5-c3dd-4ed7-b397-9f072915bcea,CONFIRMED,2026-06-30 03:16:44.05355+00,2026-06-30 03:16:44.687693+00
3926e0ab-b310-4b3e-a529-193c864ff13f,21adfbce-0e3f-4c37-813e-4bc6e04e76e1,9dc2468c-8f4c-48a9-a247-369e6ea6c825,CONFIRMED,2026-06-30 03:16:44.055611+00,2026-06-30 03:16:44.688244+00
ec22565a-fb82-4c2d-9e7e-a695996420c9,eb844d44-4453-4816-b9d4-990c3baf276d,e340a127-40f5-4d92-b716-d6f828dacf20,CONFIRMED,2026-06-30 03:16:44.059207+00,2026-06-30 03:16:44.688734+00
e581b898-b203-4c80-a6b2-05509065f4c5,66e95dbd-afe6-465b-b4da-9b1e6f694856,ea04bf35-14e1-4f4e-bc07-eecffa67a270,CONFIRMED,2026-06-30 03:16:44.061092+00,2026-06-30 03:16:44.689127+00
32df4ec9-b608-4d38-87a8-927e476387f7,053b02ca-9889-4f8b-b3c9-5ceaf6c228b8,a7ce13bb-9360-43b5-be74-af41a9399173,CONFIRMED,2026-06-30 03:16:44.061111+00,2026-06-30 03:16:44.689523+00
029656fa-ab71-4f86-8260-b22132cdedad,be92949d-7862-460a-a2ca-85c4dbca5827,ad1e7dc5-5dd1-46a1-8d5b-ba7149fb6a95,CONFIRMED,2026-06-30 03:16:44.06345+00,2026-06-30 03:16:44.689929+00
e9c966ba-d6ad-44c6-a217-c1a389f8dec4,749b9da8-628c-4e31-bf52-8c1ab79203ef,a19e07b9-0142-4f9a-91a6-3487b2f893c4,CONFIRMED,2026-06-30 03:16:44.068637+00,2026-06-30 03:16:44.690498+00
f9f1f8c3-2984-42c6-abb8-4e2cf267b70f,d63201b2-ee7c-40a9-ae43-399f4a54edec,89f8a886-909c-4a19-800c-9295c5f20e12,CONFIRMED,2026-06-30 03:16:44.097765+00,2026-06-30 03:16:44.690901+00
acb0c0c9-d1b9-4baa-a677-731890676e67,83b76647-f62c-4c1c-95c5-b37c7a31d149,6fc968e6-16f3-4940-876e-24e9931afd83,CONFIRMED,2026-06-30 03:16:44.107767+00,2026-06-30 03:16:44.691256+00
e77ca89d-a316-414c-8f96-b445e767426b,c98518f6-750e-44ae-a9ba-bb62bd6f664f,431b0cba-52eb-48dc-8c7c-bfd8b46f6fbf,CONFIRMED,2026-06-30 03:16:44.109102+00,2026-06-30 03:16:44.69161+00
bbc36019-867c-426c-8552-cfc7b184a66f,31f6ad88-1085-4793-b9e1-fdec54afaa4b,1c4602a8-f1d8-4a2f-956a-638c9a969aaa,CONFIRMED,2026-06-30 03:16:44.118365+00,2026-06-30 03:16:44.691955+00
544bdadb-0142-4058-b801-c9ddf6f091b9,c3acd951-f0fe-4a6a-ac8b-627e92265747,d66df2bc-e498-4e43-a1f0-07487d4cb4a1,CONFIRMED,2026-06-30 03:16:44.127575+00,2026-06-30 03:16:44.692219+00
6f2421f7-6e56-474e-b44b-a161ca7824e5,1439babd-e81e-465f-8d57-02f1ced714e6,9fbf7ab2-f21e-4a1c-bb70-f425cbf144c3,CONFIRMED,2026-06-30 03:16:44.135994+00,2026-06-30 03:16:44.692453+00
942fa54e-bb66-496a-b685-58a1ca8341b4,cc3dea30-7c32-4482-b7e0-6a977a0e68ad,4be3c934-6341-4ba9-ba8b-eff6c0356c5b,CONFIRMED,2026-06-30 03:16:44.146813+00,2026-06-30 03:16:44.69279+00
58219ff5-f383-4346-832b-7143cdc67206,43ba14e7-da6d-49e3-b059-934b6d53d69c,4d7d8d4e-44df-461c-bedb-25f719c6b9c2,CONFIRMED,2026-06-30 03:16:44.152483+00,2026-06-30 03:16:44.693153+00
aa683edb-2d86-419f-a708-fcc412503a22,9d4f051f-badd-43d5-a5c5-14558fb7e054,5a20d630-e44b-4d90-8103-c4a09e5f9965,CONFIRMED,2026-06-30 03:16:44.160236+00,2026-06-30 03:16:44.693462+00
0c85d7d8-8932-4b56-835a-d0d75075b1c8,0bee89a0-ebe6-4519-a35e-b95e8835faf1,f14d640c-8b44-4d01-8863-1c45f36216c5,CONFIRMED,2026-06-30 03:16:44.169002+00,2026-06-30 03:16:44.693688+00
b36e08a1-dbc6-41f0-a6e5-9306704a8ff2,fc885556-5201-49bd-a085-03f2e8eba574,de5411ee-0f2a-4af3-ae11-6c884e9ea9cd,CONFIRMED,2026-06-30 03:16:45.012927+00,2026-06-30 03:16:45.938185+00
b7522e4b-1b66-478f-a6b0-2d913b39643e,3ec02a61-d722-4a0c-86f2-14de8456579a,4ce98d1c-63b4-4106-92b0-ce42ff71d37d,CONFIRMED,2026-06-30 03:16:45.012927+00,2026-06-30 03:16:45.939154+00
79870427-e1d8-4e3f-8fc5-feb0456052db,c2af3a50-a46a-488e-b002-42aabd7e4845,22e7b6df-e670-4d3f-ac4c-054af384451e,CONFIRMED,2026-06-30 03:16:45.012961+00,2026-06-30 03:16:45.939602+00
23d45bdb-a15d-4db8-b223-7077ac7a5de1,4eb7023b-13df-49f5-8ea8-0e1c5d5b23f1,e12dd6e6-9504-4c04-8367-5c969c327191,CONFIRMED,2026-06-30 03:16:45.025027+00,2026-06-30 03:16:45.94004+00
