id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
abbacd84-0d4a-4163-9e43-fbd8335ef8bb,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,jUyWqbvzcdskMTOEHn5bd-1ygtEB_RmhLBi5huxho8A,3,2176,UNFULFILLABLE,,xR_AFTEOLL2hSvHPq15RbpgtLOQaJyOc-13nohhgvkI,2026-06-30 03:22:29.488818+00,,2026-06-30 03:22:30.807287+00
b97aa2e4-73d7-4245-89b1-043686f0b89a,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,EqtZiFOir9guscQYuXXpSh5_-TjFyxspSjSXuLfqOXc,1,2178,UNFULFILLABLE,,Xv8i7Jy_j2paWCAkk67ev-OUOpKfRQNe8nWto4o205A,2026-06-30 03:22:29.499144+00,,2026-06-30 03:22:30.816228+00
75ce9b2f-8b84-4aff-9b6c-b1a7cb963488,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,rb9231jsm0NgztDSF5kNonahl6tAwICCecKt_bhDYH8,3,1118,UNFULFILLABLE,,l01aQHugMKnAHOMXyEcLbs2FVki56nhmph3EcFuUumc,2026-06-30 03:21:30.621784+00,,2026-06-30 03:21:31.880906+00
c783b715-3a62-4b77-a7e8-e42ccc29ac6a,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,QX-ImVuDNz4vxq8Xc9XE18RYMPOxoeIDSrG0_kMxvZw,1,1122,UNFULFILLABLE,,8MT_rdxTWRMRvxpJJdtQWnZafjkcKDXs2GLaIDhaODQ,2026-06-30 03:21:30.649411+00,,2026-06-30 03:21:31.906103+00
50740409-416f-43ac-a828-d70ad3aaaa54,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,4OXjZruRmjuaGaONs8EtobOwRHLB5uIIqaw0VBOOyxc,2,1124,UNFULFILLABLE,,vmMc2JmnkvbRuz0h9q-1Ou6OzHW26Wjz6qxrd7vdWZY,2026-06-30 03:21:30.663484+00,,2026-06-30 03:21:31.919645+00
6b3bbed1-1cdb-46b5-8b9c-82d6236bd514,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,_d1a4qr46lwwshuByP9QVYOutGQOp9IRqVSAU6uqjZE,3,1126,UNFULFILLABLE,,sQNLP-w4Dk5sedKARzFpQDuhCYLEpOHaQvxd4ATiCX8,2026-06-30 03:21:30.97454+00,,2026-06-30 03:21:32.935959+00
974ff166-d34f-414c-84dc-1141c43c66c4,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,qqKx6dIogXI0qBWNKqKRKdjZ44bJDGsEJU7rkgRUOQs,1,1132,UNFULFILLABLE,,axAxwNdoAeSPX0FH0zeuSmMclxLdFqqQRE5DYJLxgKw,2026-06-30 03:21:31.014335+00,,2026-06-30 03:21:32.965865+00
9d885064-d876-4a89-af13-4467ed5d85af,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,e32k1iTiki6wnnikm31y46RPzj-_PP1coKfDx7SqsUg,2,1167,UNFULFILLABLE,,nGsXIeAYz7B3LCxNoQz3o5es_NvK_3mL35IGMB8C6dc,2026-06-30 03:21:33.052267+00,,2026-06-30 03:21:35.155832+00
ec1ead2d-88ef-495c-8630-fdf4b1cdc31b,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,aQnU3j-0a5ChPKDgGwamHVMcf45IvbJSpGSjv6tyN8s,3,1170,UNFULFILLABLE,,vXR8q1Xeizcs5FYoSNzSfMKZ8i2SG3GR36v4cs0_Zx4,2026-06-30 03:21:33.073345+00,,2026-06-30 03:21:35.172903+00
4feb6f41-b835-4ab3-977d-74b2278f2bb3,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,K9Ydvz7QAZzD858ToraAcCbBU3xFsq9RZo75fLa1F7Y,1,1172,UNFULFILLABLE,,L2uiUvFWH4feHS7hjIx2kH_xfVrAdl0-ZfR09NtGnFs,2026-06-30 03:21:33.659186+00,,2026-06-30 03:21:35.188346+00
7c3d2ed9-bc08-4587-9920-cb876c18fc07,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,ODsLV8_BRAetpZNGR9FDnAWbCy6hUAvyv-30THyzl5g,2,2,CONFIRMED,7a0859c8-40bf-429a-ba71-f9f56fe7fc15,mkTaVIwU74iXd51VdaooC8yQJ5W3FYddg8fgfz9WaCs,2026-06-30 03:20:27.516374+00,2026-06-30 03:20:28.052984+00,2026-06-30 03:20:29.015451+00
ac33797f-4599-42cf-a2eb-c8b46bc64de1,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,dacSdi4ylzu7_UPEyrpxvEckU6alrVqfhNZcN6vNyOs,2,1,CONFIRMED,21de3c57-0fb0-4a21-ab7a-54c29f6f28b7,k1y5SslkOHo8A7D6UvMF93wCDh2N71VwRLSODMGq0pc,2026-06-30 03:20:27.495177+00,2026-06-30 03:20:28.033706+00,2026-06-30 03:20:29.034269+00
e0f8bddb-18a6-4123-b385-5c7c76c75be7,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,2JxD94o15OgEVXH4CEt7Ti_YY1aMnG_wzonUXFKj-ZY,1,22,CONFIRMED,ed1398fe-e6ab-4d10-9cb4-f220d3a45c2f,lOkvqA24UT2crdUbixPEpUjH1LJfdtfj3CcgmRfXQMM,2026-06-30 03:20:27.804642+00,2026-06-30 03:20:29.390401+00,2026-06-30 03:20:30.00135+00
037ba559-73ca-4521-a328-16cc3b173618,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,lDn8tet7WNUKHAIbY9iXnrYqLORFKh5EFDqvpz0b9Ro,3,23,CONFIRMED,5320f9e5-9d4c-4014-af9f-2bf52368b9ec,j8EBr0cZZy6GCl286qifRtk0V35eLFCuOAP282NLBrY,2026-06-30 03:20:27.818323+00,2026-06-30 03:20:29.409723+00,2026-06-30 03:20:30.00807+00
480d2a57-d4ae-4c59-9ebf-32ad8725e265,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,whgANNiD805o5exLHHIGPauSydy5oHfSbrI5S1egJUA,3,27,CONFIRMED,2425389b-20c8-4855-a025-32c495aa533f,fmw-tZm_gsOOBO013jwkmllQIlCqqvznY0cNsqSCgR0,2026-06-30 03:20:27.877554+00,2026-06-30 03:20:29.489068+00,2026-06-30 03:20:30.030262+00
ede47311-f690-4e3e-9eb5-73bfabdb9408,6ea631ad-2342-40cd-843d-a02535cc122a,1ffcd9fc-4cd2-4d26-922a-12937bc9fc2a,SQh_ixtC5ojK5aUM6Et0gY8mIbeU_QM-1sN6IzzGAs8,1,26,CONFIRMED,cf15451a-3b32-417d-9185-1feece5e53c0,862T8AEjAW1GbE4w-JX_FMplcFl077M2Ps6-LjgGGZA,2026-06-30 03:20:27.860288+00,2026-06-30 03:20:29.470081+00,2026-06-30 03:20:30.035317+00
