id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
11d86128-7c9e-444e-817c-8d469141a21f,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,feGFoJpp2BxXomyZsfkYKt5k0QdkesMktX_nY9_azCo,2,1,CONFIRMED,741fc978-2fc1-4a01-b232-505f58ac2471,wzmKIxlNnB9bNQT-rl_LPUHT3L3qOY1u6OQmvsd565g,2026-06-30 03:24:11.970079+00,2026-06-30 03:24:12.748176+00,2026-06-30 03:24:13.034957+00
89f05bf7-cf67-4c2b-8b6b-f7eb7d0ed898,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,LgJ06cF2qvxLiWOY3EiJCpCXNrxh9O5p0fZRO54NEj8,1,2,CONFIRMED,10220bcc-262d-4c7d-8ed3-850be3f4b8e9,nmLF-CBp-doxhI7J5koeVvrDjDfsMI4yFNMZAySi5KI,2026-06-30 03:24:12.338694+00,2026-06-30 03:24:12.761393+00,2026-06-30 03:24:13.387472+00
ba877f27-e894-4aaf-8136-43d32d86bad3,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,9W4S2yy7QRShhBZWxj5_27-tAAENfv5TTzYSwsuxYGU,3,1498,UNFULFILLABLE,,VvNGkhWCXsofSdfZRcQJ2oj86xO3DbzlPe-uKNP10fI,2026-06-30 03:25:15.127238+00,,2026-06-30 03:25:18.080298+00
e9705c4c-5dd7-484a-9aec-ab2c6d736021,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,RkKTnAe7sIf5BoP4uDYtowJbtZapomSAoEh6bHTMp18,2,1499,UNFULFILLABLE,,A-XLtMF45NrKq4Y3HAdraYK6rezWm1qc9LM39PCHV9A,2026-06-30 03:25:15.135933+00,,2026-06-30 03:25:18.085421+00
552b1e8d-259d-4504-bc87-f9f13f20e11e,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,1bXY8qzMALxJhiMeRtJnPMdoByTSrX_f53gZWtQ3MjY,1,1509,UNFULFILLABLE,,wd2ezFqmqdKTzG8Kqbjzz--ZltsT9steAfSXofhY-Bo,2026-06-30 03:25:15.592796+00,,2026-06-30 03:25:18.145437+00
6fe99aeb-488a-4091-aad7-7fee387769dc,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,hvunYe-N6rIdUgOmFHr_jA-EFUZ5ojTST8I4TtO0bfk,3,1513,UNFULFILLABLE,,urvQ8yMwAchWJrSmSkVP-A9KwkSBVKc_haf0JvxrrM0,2026-06-30 03:25:15.627255+00,,2026-06-30 03:25:18.167053+00
8f12a443-dbe3-4cf1-9886-b880a0098adb,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,s9w9160dm8-4C909M7Z95EXsnYQpFvcMAcx-Tar4LDI,2,4,CONFIRMED,fbea6565-0d24-49d7-a4af-67bb798b9002,4AHalqtLfxFyF7QElVT544wUF-wv2HThYlG8cxWHj4U,2026-06-30 03:24:13.054076+00,2026-06-30 03:24:13.794225+00,2026-06-30 03:24:14.102788+00
50a2a9d9-dae1-4918-88b5-bd1648f29368,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,F-KRs8oxManNptDnhXeLkzNTeDZFZVLCjlzkA9NyE0g,1,1518,UNFULFILLABLE,,sebe0Uw1v6MaE5LgLX9GU27TrYli127gKfxcozEsIRs,2026-06-30 03:25:16.156538+00,,2026-06-30 03:25:18.193861+00
bc27f1d3-bae3-462f-b810-baf59887bf5c,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,LvJStwvHjQfbKrNs7BPmQAjIL3rDGFNTTqc4m9He2Q8,2,5,CONFIRMED,a2e7c05c-f1f2-48af-a2ad-aedc58329936,UbwqJfuSpaAxDoDBHX4o3MYXsDkSeic7QUjmHeXUqfA,2026-06-30 03:24:13.095033+00,2026-06-30 03:24:13.805271+00,2026-06-30 03:24:14.129476+00
79351222-9fe9-4171-b0fb-c7b28c3ef2fd,a48f3795-aada-4cb2-853a-40eac971e5a3,c76ef3b5-b8e2-42a7-a2e9-5b02811691a5,cOy3Syrflt6B-bKGkWjMh7h1yrGEF8qlwsTzkdV64ys,1,6,CONFIRMED,e92fe1d9-3cac-40d7-98c4-b978ceaa5133,eVi1MLlVzVm26LC2bN3PmoK1oRDsQ25_CEGMkyxSZ7o,2026-06-30 03:24:13.40453+00,2026-06-30 03:24:13.817223+00,2026-06-30 03:24:14.435925+00
