id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
aca9b9b4-5146-43b0-8c5b-4b84a7b69ffe,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,LgJ06cF2qvxLiWOY3EiJCpCXNrxh9O5p0fZRO54NEj8,3,1,CONFIRMED,cb5372e0-4fab-43ba-a49b-087eb3008570,8mC5iP0ogNpYYDMXbCrydLgGgMx9bXr8f30HGxTj6Mg,2026-06-30 03:35:48.46614+00,2026-06-30 03:35:48.738564+00,2026-06-30 03:35:49.630125+00
fe5582a0-a0fc-460a-892a-237ed074d460,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,LvJStwvHjQfbKrNs7BPmQAjIL3rDGFNTTqc4m9He2Q8,3,3,CONFIRMED,f3029d21-656c-4c70-828c-473b7c2487e1,enHagkpU7WVgUwDZyh_ZtFhOpvPAUFWz6DvrTAfR44Q,2026-06-30 03:35:48.495674+00,2026-06-30 03:35:48.822299+00,2026-06-30 03:35:49.639703+00
b1358100-d052-4714-85d6-849381293728,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,IRgdGRAYLCf-qfdzih4vZkzPgTrR6LedJUaW0LJB9EU,1,2,CONFIRMED,d8d284e0-276c-49ba-8263-b90735e85b55,tAlyisrdY89JtVI3TzDea_-3m1vRxegTYJFcZKGidZs,2026-06-30 03:35:48.474143+00,2026-06-30 03:35:48.787496+00,2026-06-30 03:35:49.651225+00
6b08d452-912e-4960-b8c5-b40a548f0518,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,dO9B-UB5fFPPVL9yUYND2aKVnvS0Tq_fB_102hPdFtA,1,4,CONFIRMED,122e4080-d14d-4ed2-a955-6a731fd517f8,xSQD3QNmw2IUK4wO2OTh0Yd-XEj3dcyjCQK-RyHLRok,2026-06-30 03:35:48.522638+00,2026-06-30 03:35:49.891549+00,2026-06-30 03:35:50.616852+00
bd204e5a-4ffa-44de-892d-d19656ba6a4f,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,feGFoJpp2BxXomyZsfkYKt5k0QdkesMktX_nY9_azCo,3,5,CONFIRMED,6510a9fc-be67-4441-8538-7138ee995305,pvmzNOxZxnvYokI-YjvNFmvv9rAt_p3flR1vMYRmtbc,2026-06-30 03:35:48.562216+00,2026-06-30 03:35:49.918303+00,2026-06-30 03:35:50.674136+00
a2795137-0198-401d-825d-1db15afec6d7,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,KVN842llgwyp0yfeNY_mFXzQjxP2MR7HIc07TQDrMfk,1,6,CONFIRMED,db8a2bac-cac1-4490-8bbf-3d216b9ac913,UV-ywhFy9tn_MX7DzuOVxCKSBauBlAMElNQyy1cu2Q8,2026-06-30 03:35:48.598661+00,2026-06-30 03:35:49.950633+00,2026-06-30 03:35:50.701183+00
d3f060c1-dc6f-46d8-8be1-d5c067b97581,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,cOUS7l6mFtNBM2g5YNdyZF0nfFWUP5yvPc6O4fyl7Lg,2,7,CONFIRMED,8b9bf5e6-a9de-4320-8ab5-a9a61594d3f2,Jt3ZWS7YEyrBcPrxYb3Ch2Z9Fu5obKNBbQLC73nC0Lw,2026-06-30 03:35:48.634871+00,2026-06-30 03:35:49.985103+00,2026-06-30 03:35:50.75609+00
a70c451f-f2fb-4feb-83c8-a4c9975d697b,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,cOy3Syrflt6B-bKGkWjMh7h1yrGEF8qlwsTzkdV64ys,3,11,CONFIRMED,839e7c1d-6e4c-4cf1-935a-702fb6630e9f,2qurqdDQ8CfRqHjO5iMFxmc4ZLBRUrzu9kOr53ZpzQE,2026-06-30 03:35:49.697874+00,2026-06-30 03:35:50.119494+00,2026-06-30 03:35:50.765846+00
d0f88ebf-401d-468d-a0e1-b805a04e61d1,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,HXDKJd6mrSNlob8UPzkt0i7l379Myxu3745TTTJnnm0,3,12,CONFIRMED,4c3e5f08-9c4a-487c-ac9f-0afd5efc763e,VH3PgqVNsShcq8rwyedcu8PnheSbs0Fu-EQeF7DmBLM,2026-06-30 03:35:49.721835+00,2026-06-30 03:35:50.144392+00,2026-06-30 03:35:50.794393+00
5892f092-6e1f-47a7-8127-99bc1780c1ef,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,MNcDp9TkIlpJFmN35rUHWeUkoCKAO4XxXmC5EULTYaI,3,13,CONFIRMED,17e17188-c77c-4db4-ac7f-fea8cdeab5a4,AF8iheOtkK2YIRMAm1D1gThYy2IBjsoRYVEoF_LSTD4,2026-06-30 03:35:49.738215+00,2026-06-30 03:35:50.16918+00,2026-06-30 03:35:50.809289+00
251c3b75-1e15-406f-afbd-8db7018b2542,6cc2bda7-0df4-4e16-990e-226c996ec329,6a0d94b1-967a-4e5d-8233-f0c12255171c,466uDbxkJSdbXDSxvIrxeot57ATNGydUYvlOuer3E60,3,8,CONFIRMED,5f46db29-a2c3-4a82-84bf-380306f9bebf,S35eewM6JiPnZ2KKX_RcncQm5fOrsgg0Nh7JhxQAOuk,2026-06-30 03:35:48.683156+00,2026-06-30 03:35:50.016728+00,2026-06-30 03:35:50.819444+00
