id,queue_id,resource_id,participant_hash,quantity,sequence,state,reservation_id,token_hash,created_at,hold_granted_at,terminal_at
e3be7c42-2809-4bde-922a-2a5750611f29,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,cK7Wbp9j3pmdEVi4rTPaHk7MwrnrcTwKMqOzIsR65wM,3,1025,UNFULFILLABLE,,7h4ixAZM3etk02DRZaegEbuKoQ9t5t0WAAtOAJpIUhI,2026-06-30 04:47:12.824408+00,,2026-06-30 04:47:15.733638+00
1568876a-0fe7-4320-88ed-0e3197ab5854,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,TmTgP0CEC_xh6D8bF3Hr7TYxWw3PLXgh7Ao0VlAiRB4,2,1143,UNFULFILLABLE,,i0O_OkWFaUvownKOyHuFhblQZgYUDY-o25_YET04j8o,2026-06-30 04:47:17.468367+00,,2026-06-30 04:47:20.758741+00
9889d6b2-b546-49e7-aebc-5583962b1e11,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,LvJStwvHjQfbKrNs7BPmQAjIL3rDGFNTTqc4m9He2Q8,1,1,CONFIRMED,0b875a10-d536-4238-b614-1c6d5eabce38,erMSKY_pSxNnJBbumOjEC6OYx4N4mBVvSIMJRfEp7Oo,2026-06-30 04:46:24.538919+00,2026-06-30 04:46:25.04805+00,2026-06-30 04:46:25.690793+00
e2fd2363-fbe0-40d6-99dd-13a17720b751,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,SQh_ixtC5ojK5aUM6Et0gY8mIbeU_QM-1sN6IzzGAs8,3,2,CONFIRMED,07e90fa4-7353-4ae1-9753-02b1053a51c9,ChVDIr20Wv92fT9C6Q0qJueIm4uT9FJwu9zyKZYpTEM,2026-06-30 04:46:24.882206+00,2026-06-30 04:46:25.063586+00,2026-06-30 04:46:25.971718+00
40391bf2-68d2-4a7f-9134-97eff211337b,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,zWYZXXv_etLdA0FblGYqBQhZcKbwmt4BFzKMzJRg1gk,3,3,CONFIRMED,6f73366e-2f3f-495c-9485-4f89a1e96435,w0y0Kb_ULo-YMIrdVgxAE4LV0Bk6WZpukl3HvoRAVfU,2026-06-30 04:46:25.247535+00,2026-06-30 04:46:26.105607+00,2026-06-30 04:46:26.341726+00
4d89ccc6-e594-4919-b548-53467e6693df,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,6dobWlORgQsn87uEKzVQSFRR4rsJuJdg2SP0IaauHA4,2,4,CONFIRMED,845e2179-e065-4ca7-93c2-8b2eed765498,IFCT7lgJm4PIKxE77aoRsy2hXe3Y6hpsMCL4fv7aDPw,2026-06-30 04:46:25.636066+00,2026-06-30 04:46:26.121741+00,2026-06-30 04:46:26.713462+00
1fb4988b-3c6c-4df6-9df2-1498dde9dbb5,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,HXDKJd6mrSNlob8UPzkt0i7l379Myxu3745TTTJnnm0,2,5,CONFIRMED,46cf6ab7-c291-4230-b36c-8a21f15fd8f4,Gv73OqosYtDylM0qWn8xB6g4nlyZMhUFs9RvyNnR0TY,2026-06-30 04:46:25.742455+00,2026-06-30 04:46:26.136134+00,2026-06-30 04:46:26.829453+00
c2cca23f-8994-4f4e-bd6c-7b51a420af81,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,dO9B-UB5fFPPVL9yUYND2aKVnvS0Tq_fB_102hPdFtA,3,6,CONFIRMED,b7dd95d0-f6ad-44bb-9f4f-7028b90ede2e,IEe5a_mJiQTlzFTsAdl9onTqczQiFYqmIBbqkb7gtd0,2026-06-30 04:46:26.016675+00,2026-06-30 04:46:26.150036+00,2026-06-30 04:46:27.108555+00
237d22fb-215b-423f-9bcf-5a6bd519893c,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,bqiDUQ4fjR7n--YXmrrSp6JCMAiP1IqhRjw1OUCYI8k,3,7,CONFIRMED,1dbfd76b-ba82-4777-a6be-007991375fe4,LXcpiiz-w3KwizdnysoIA4G6XAofNtoq3WiYpl-CPIA,2026-06-30 04:46:26.031429+00,2026-06-30 04:46:26.164759+00,2026-06-30 04:46:27.12269+00
f971f523-b640-445b-8c50-f562c22e6d97,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,3R7etGrroEd5w8tVjsDh1hjU7rPCOS47mm6lE2o1qGg,3,8,CONFIRMED,a8afb348-9831-4852-af3a-ec5b7c384db8,tkgp16g-qGYSn1Rs0hjPCCK_ZM2g8qMT05ylhfWoiQw,2026-06-30 04:46:26.389183+00,2026-06-30 04:46:27.202719+00,2026-06-30 04:46:27.466485+00
02da9f3f-4461-488b-9f75-3e876f08c063,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,LgJ06cF2qvxLiWOY3EiJCpCXNrxh9O5p0fZRO54NEj8,2,9,CONFIRMED,15ec8ab9-4f61-41d9-9681-9886f2e29275,_j70fw3Mh6xYuX0XbXW7kIXPtWyYD7TmdbKhVGVX6JY,2026-06-30 04:46:26.403413+00,2026-06-30 04:46:27.21491+00,2026-06-30 04:46:27.476929+00
789e7b28-ef18-4528-ad7c-4e39e5f1c2e1,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,M0jPz5NfveGxNFzQ0p7OQJYOPAALQF7nq9l6CtNAZSg,3,10,CONFIRMED,8602b85d-b79c-4f6d-94a1-428b68ed665d,4cIOewP-x2vsUqgPP6U1Xs_zNFLm0OLo81ULNzUvlhU,2026-06-30 04:46:26.747251+00,2026-06-30 04:46:27.229497+00,2026-06-30 04:46:27.826131+00
26740630-4fa6-44ed-af7e-67fc40632fc0,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,cOUS7l6mFtNBM2g5YNdyZF0nfFWUP5yvPc6O4fyl7Lg,2,11,CONFIRMED,d9a5442f-7182-4ae5-a08d-453d5642bd46,N4wh_Y5On5gtgQ8d0G8SgSCSfDaODpiK7IuCS1DfEwA,2026-06-30 04:46:26.765578+00,2026-06-30 04:46:27.242233+00,2026-06-30 04:46:27.839374+00
67514300-34b1-4e2d-ac9b-c3cf17c76c02,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,v-bT8epqAa82b81jDOqojrQjLe3PqNHKj02qeQ7Nueo,1,12,CONFIRMED,7d01a1bf-1a1d-432a-a86e-6e0863118ac4,sxm-NeF7vmgjSV50fSURu77ppakFoEFvlJmo_9fgB-M,2026-06-30 04:46:26.863343+00,2026-06-30 04:46:27.254425+00,2026-06-30 04:46:27.957831+00
9d0afa77-ce0f-4695-93fc-55c5e5036e7c,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,Lr7VYYcELvHs1EaU_2HsmqFwe_2jv7KAqeyL_0V3VaI,1,13,CONFIRMED,3a592878-d961-4290-9dfa-5b2d52ec3e41,XB-Afz08eVpkF3R4q9IGGU7bdrrHVFI6aWLUo-JyTg0,2026-06-30 04:46:27.144659+00,2026-06-30 04:46:27.268243+00,2026-06-30 04:46:28.232193+00
5c50cfd4-4463-4664-a21c-203dce158583,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,UCuLu1-2l2Io58_unWy2OZbnNRuJ8IrfU8tF833vv4s,3,14,CONFIRMED,f4b7b4ac-fdfa-4007-ad93-42d4419de8bb,PkOEfoET6GPkVwZJtZ1nDJEZ_oHKj1WL-OULdhmSl5M,2026-06-30 04:46:27.155879+00,2026-06-30 04:46:27.282781+00,2026-06-30 04:46:28.238659+00
d20b6dbb-dd0d-440a-9d3e-34ac6c11f6a6,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,z0bPvoqS6ov0nKxDOIsNkq2tjmn9bzRYOyvtVK21QjE,2,15,CONFIRMED,8be11308-0558-4788-b854-d6582efc92f9,gTTeoho9LIOAiU5AkMQepbdV0g5CD6l3hDOuLSxoIek,2026-06-30 04:46:27.169537+00,2026-06-30 04:46:27.297895+00,2026-06-30 04:46:28.250151+00
7d7bd077-8282-4c81-8784-3f91639b8d09,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,SKzWML8hZD_G1at5E1xfyUmiKBut0Y47c21HIgRN0wk,2,16,CONFIRMED,1c260f5d-2afd-4911-bfa0-8400456a20d7,5sYs7sSDJITsfHMx44RNpoWq1p6rw_pCg6_b9UEWjwA,2026-06-30 04:46:27.504655+00,2026-06-30 04:46:28.336194+00,2026-06-30 04:46:28.580444+00
4504eb02-da81-4d5b-a584-a8e12359422d,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,cOy3Syrflt6B-bKGkWjMh7h1yrGEF8qlwsTzkdV64ys,3,17,CONFIRMED,3f07ff0b-07f8-4683-a192-eb7f5e4ed9e4,ufzxvCFnjvIjuHh2-nBrhUjuUDZgPzxpqfReD2L-XAE,2026-06-30 04:46:27.517119+00,2026-06-30 04:46:28.35234+00,2026-06-30 04:46:28.601028+00
ec33dafd-aa42-4249-b33e-dd5812f97b5a,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,ODsLV8_BRAetpZNGR9FDnAWbCy6hUAvyv-30THyzl5g,3,18,CONFIRMED,3d87b9d7-d4a5-428b-ac2e-1e3c1e7c79df,P1rgXXWtVU5Vqz--lQVkBXvuIl2QwIUPJH68tt-Ky3g,2026-06-30 04:46:27.528558+00,2026-06-30 04:46:28.368794+00,2026-06-30 04:46:28.605967+00
5fe4dc49-94d6-4461-96a6-54f33f732490,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,mSLj_kUHR0xvFy3tS77d8LYUz5gs3E22cL5qHWR2NFQ,1,19,CONFIRMED,df62792a-eabe-4d80-8212-cf1b0e456b64,J0Ow8edo3nsJ9BqdhDd1YBF8mApVmZl5qRVf49FMyu8,2026-06-30 04:46:27.862445+00,2026-06-30 04:46:28.387366+00,2026-06-30 04:46:28.931934+00
ac8717aa-ce16-4d75-bf48-acda9f082ebe,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,gfZ1VklK9u2kyXFxyuE2hi2YBBQJdxt4atMJVCRmBkE,3,20,CONFIRMED,dd4944a7-edfd-4997-bd99-9485c93da884,vEDe9SwcXcTSXPH5w4p9uF4LRCn62cFH2EvuXYGd8yU,2026-06-30 04:46:27.880818+00,2026-06-30 04:46:28.403557+00,2026-06-30 04:46:28.951691+00
16a32871-d2e7-4326-b38a-e6189adf4ae5,bae779c8-55f1-473b-9b10-7163c9db80a7,9e2fdf16-dd24-451d-b6a2-5c48cbc4b7b0,55VkVQucP-KyEMy9ax4Vz0RyfYWFe2uJB5dfbCRpRf4,3,21,CONFIRMED,46079063-fb0a-4f61-b9f3-45512402e29a,zR8YslC1IzFiBxskQ9BLBW_jOtZr5Nl-3kjjKFK8Mpg,2026-06-30 04:46:27.917661+00,2026-06-30 04:46:28.419574+00,2026-06-30 04:46:29.025723+00
